Publication,Taxon ,Invertebrate,Trait,Function,Country,Climate,Ecosystem,Design,Habitat,Site.Treatment,Technique
Hunter et al. 2002,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Hunter et al. 2002,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Hunter et al. 2002,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion
Hunter et al. 2002,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion
Hunter et al. 2002,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Hunter et al. 2002,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion
Ibanez et al. 2013,"Chorthippus scalaris, Euthystira brachyptera",Orthoptera,Leaf chewers,Herbivore,France,Temperate,Grassland,Mesocosm,Plant leaf,Subalpine grassland,Fauna manipulation/litter bag exclusion
Ibanez et al. 2013,"Chorthippus scalaris, Euthystira brachyptera",Orthoptera,Leaf chewers,Herbivore,France,Temperate,Grassland,Mesocosm,Plant leaf,Subalpine grassland,Fauna manipulation/litter bag exclusion
Joo et al. 2006,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Japan,Temperate,Woodland,Field study,Litter,Cedar plantation,Litter bag exclusion
Mayer 2008,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Forest-grassland mix,Litter bag exclusion
Schadler et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Herbivore,Germany,Temperate,Grassland,Field study,Soil,Oldfield grassland,Insecticide
Schadler et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Grassland,Field study,Soil,Oldfield grassland,Insecticide
Schadler et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Herbivore,Germany,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Insecticide
Schadler et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Grassland,Field study,Litter,Oldfield grassland,Insecticide
Schadler et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Herbivore,Germany,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Insecticide
Schadler et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Grassland,Field study,Litter,Oldfield grassland,Insecticide
Schadler et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Herbivore,Germany,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Insecticide
Schadler et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Grassland,Field study,Litter,Oldfield grassland,Insecticide
Zhang et al. 2011,Oedaleus asiaticus,Leaf-chewing Orthoptera,Leaf chewers,Herbivore,Mongolia,Temperate,Grassland,Field study,Plant leaf,Semi-arid grassland steppe,Fauna manipulation
Zhang et al. 2011,Oedaleus asiaticus,Leaf-chewing Orthoptera,Leaf chewers,Herbivore,Mongolia,Temperate,Grassland,Field study,Plant leaf,Semi-arid grassland steppe,Fauna manipulation
Katayama et al. 2013,Aphis glycines,Aphididae,Leaf piercers,Herbivores,Japan,Temperate,Agriculture,Mesocosm,Plant leaf,Soybean cropfield,Fauna manipulation
Anderson 1973,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Fagus woodland,Litter bag exclusion
Anderson 1973,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Fagus woodland,Litter bag exclusion
Anderson 1973,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Castenea woodland,Litter bag exclusion
Anderson 1973,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Castenea woodland,Litter bag exclusion
Anderson 1973,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Castenea woodland,Litter bag exclusion
Anderson 1973,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Castenea woodland,Litter bag exclusion
Anderson 1973,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Fagus woodland,Litter bag exclusion
Anderson 1973,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Fagus woodland,Litter bag exclusion
Araujo et al. 2004,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation
