Publication,Taxon ,Invertebrate,Trait,Function,Country,Climate,Ecosystem,Design,Habitat,Site.Treatment,Technique
Hattenschwiler and Gasser 2004,Glomeris sp.,Diplopoda,Detritus shredders,Decomposers,Switzerland,Temperate,Woodland,Field study,Litter,Old-growth mixed forest,Fauna manipulation
Hattenschwiler and Gasser 2004,Aporrectodea longa,Earthworm,Bioturbator,Decomposers,Switzerland,Temperate,Woodland,Field study,Litter,Old-growth mixed forest,Fauna manipulation
Hattenschwiler and Gasser 2004,Glomeris sp.,Diplopoda,Detritus shredders,Decomposers,Switzerland,Temperate,Woodland,Field study,Litter,Old-growth mixed forest,Fauna manipulation
Hattenschwiler and Gasser 2004,Aporrectodea longa,Earthworm,Bioturbator,Decomposers,Switzerland,Temperate,Woodland,Field study,Litter,Old-growth mixed forest,Fauna manipulation
Hattenschwiler and Gasser 2004,Glomeris sp.,Diplopoda,Detritus shredders,Decomposers,Switzerland,Temperate,Woodland,Field study,Litter,Old-growth mixed forest,Fauna manipulation
Hattenschwiler and Gasser 2004,Aporrectodea longa,Earthworm,Bioturbator,Decomposers,Switzerland,Temperate,Woodland,Field study,Litter,Old-growth mixed forest,Fauna manipulation
Hattenschwiler et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Amazonian lowland forest,Litter bag exclusion
Hattenschwiler et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Amazonian lowland forest,Litter bag exclusion
Hattenschwiler et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Amazonian lowland forest,Litter bag exclusion
Hattenschwiler et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Amazonian lowland forest,Litter bag exclusion
Hattenschwiler et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Amazonian lowland forest,Litter bag exclusion
Hedde et al. 2010,Dendrodrilus rubidus,Earthworm,Bioturbator,Decomposers,France,Temperate,Woodland,Field study,Litter,Beech forest,Fauna manipulation
Hedde et al. 2010,Oniscus asellus,Isopod,Detritus shredders,Decomposers,France,Temperate,Woodland,Field study,Litter,Beech forest,Fauna manipulation
Hedde et al. 2010,Cylindroiulus latestriatus,Diplopoda,Detritus shredders,Decomposers,France,Temperate,Woodland,Field study,Litter,Beech forest,Fauna manipulation
Hedde et al. 2010,Glomeris marginata,Diplopoda,Detritus shredders,Decomposers,France,Temperate,Woodland,Field study,Litter,Beech forest,Fauna manipulation
Heneghan et al. 1998,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Puerto Rico,Tropical,Woodland,Field study,Litter,Low montane rainforest,Insecticide
Heneghan et al. 1998,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Insecticide
Heneghan et al. 1998,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Costa Rica,Tropical,Woodland,Field study,Litter,Lowland rainforest,Insecticide
Heneghan et al. 1999,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Costa Rica,Tropical,Woodland,Field study,Litter,Lowland rainforest,Insecticide
Heneghan et al. 1999,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Puerto Rico,Tropical,Woodland,Field study,Litter,Low montane rainforest,Insecticide
Heneghan et al. 1999,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Insecticide
Heneghan et al. 2007,Eurasian earthworms,Earthworm,Bioturbator,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Heneghan et al. 2007,Eurasian earthworms,Earthworm,Bioturbator,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Heneghan et al. 2007,Eurasian earthworms,Earthworm,Bioturbator,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Heneghan et al. 2007,Eurasian earthworms,Earthworm,Bioturbator,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Hines and Gessner 2012,Pardosa littoralis,Hunting spider,Hunting predators,Predators,USA,Temperate,Wetland,Field study,Litter,Coastal saltmarsh,Fauna manipulation
Hines and Gessner 2012,Littorophiloscia vittata,Isopod,Detritus shredders,Decomposers,USA,Temperate,Wetland,Field study,Litter,Coastal saltmarsh,Fauna manipulation
Hines and Gessner 2012,Pardosa littoralis,Hunting spider,Hunting predators,Predators,USA,Temperate,Wetland,Field study,Plant leaf,Coastal saltmarsh,Fauna manipulation
Hines and Gessner 2012,Prokelisia dolus,Leaf-chewing  hopper,Leaf chewers,Herbivores,USA,Temperate,Wetland,Field study,Plant leaf,Coastal saltmarsh,Fauna manipulation
Holdsworth et al. 2008,Lumbricus and Dendrobaena sp.,Earthworm,Bioturbator,Decomposers,USA,Temperate,Woodland,Field study,Soil,Deciduous forest,Litter bag exclusion
Holdsworth et al. 2008,Lumbricus and Dendrobaena sp.,Earthworm,Bioturbator,Decomposers,USA,Temperate,Woodland,Field study,Soil,Deciduous forest,Litter bag exclusion
Holdsworth et al. 2008,Lumbricus and Dendrobaena sp.,Earthworm,Bioturbator,Decomposers,USA,Temperate,Woodland,Field study,Soil,Deciduous forest,Litter bag exclusion
Holdsworth et al. 2008,Lumbricus and Dendrobaena sp.,Earthworm,Bioturbator,Decomposers,USA,Temperate,Woodland,Field study,Soil,Deciduous forest,Litter bag exclusion
Hopkins et al. 1990,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Soil,Mull soil meadow,Litter bag exclusion
Hopkins et al. 1990,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Soil,Mor soil meadow,Litter bag exclusion
Hopkins et al. 1990,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Soil,Mor soil meadow,Litter bag exclusion
Hopkins et al. 1990,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Soil,Mull soil meadow,Litter bag exclusion
Hou et al. 2005,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Taiwan,Tropical,Woodland,Field study,Litter,Lowland rainforest,Insecticide
Hunter et al. 2002,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion
Hunter et al. 2002,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Hunter et al. 2002,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Hunter et al. 2002,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Hunter et al. 2002,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion
Hunter et al. 2002,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion
Ibanez et al. 2013,"Chorthippus scalaris, Euthystira brachyptera",Orthoptera,Leaf chewers,Herbivores,France,Temperate,Grassland,Mesocosm,Plant leaf,Subalpine grassland,Fauna manipulation/litter bag exclusion
Ibanez et al. 2013,"Chorthippus scalaris, Euthystira brachyptera",Orthoptera,Leaf chewers,Herbivores,France,Temperate,Grassland,Mesocosm,Plant leaf,Subalpine grassland,Fauna manipulation/litter bag exclusion
Ibanez et al. 2013,"Chorthippus scalaris, Euthystira brachyptera",Orthoptera,Leaf chewers,Herbivores,France,Temperate,Grassland,Mesocosm,Plant leaf,Subalpine grassland,Fauna manipulation/litter bag exclusion
Jia et al. 2015,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Broad-leaf/ coniferous forest,Litter bag exclusion
Jia et al. 2015,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Broad-leaf/ coniferous forest,Litter bag exclusion
Joo et al. 2006,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Japan,Temperate,Agriculture,Field study,Litter,Agroforestry ceder plantation,Litter bag exclusion
Koltz et al. 2018,Lycosidae,Hunting spider,Hunting predators,Predators,USA,Arctic,Woodland,Field study,Litter,Arctic tundra,Fauna manipulation
Kotilainen et al. 2004,"Folsomia candida, Lepidocyrtus lignorum",Collembola,Detritus grazers,Decomposers,Finland,Temperate,Woodland,Mesocosm,Soil,Laboratory,Fauna manipulation
Kurzatkowski et al. 2004,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Agriculture,Field study,Litter,Agroforestry Bastris plantation,Litter bag exclusion
Kurzatkowski et al. 2004,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Agriculture,Field study,Litter,Agroforestry Mixed plantation,Litter bag exclusion
Kurzatkowski et al. 2004,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Agriculture,Field study,Litter,Agroforestry Bastris plantation,Litter bag exclusion
Lamers et al. 2009,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion
Lamers et al. 2009,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion
Lamers et al. 2009,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion
Lamers et al. 2009,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion
Lamers et al. 2009,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion
Lamers et al. 2009,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion
Lawrence and Wise 2004a,Litter araneae,Hunting spider,Hunting predators,Predators,USA,Temperate,Woodland,Field study,Litter,Oak-Hickory Forest,Fauna manipulation
Lawrence and Wise 2004b,Litter araneae,Hunting spider,Hunting predators,Predators,USA,Temperate,Woodland,Field study,Litter,Oak-Hickory Forest,Fauna manipulation
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lin et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Lindsay and French 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Litter,Coastline shubland,Litter bag exclusion
Lindsay and French 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Litter,Coastline shubland,Litter bag exclusion
Liu et al. 2015,Macrothele yunnanica,Ambush spider,Ambush hunters,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation
Liu et al. 2015,Pardosa laura,Hunting spider,Hunting predators,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation
Liu et al. 2015,"Pardosa laura, Macrothele yunnanica",Litter spiders,Hunting predators,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation
Liu et al. 2016,Pardosa laura,Ambush spider,Ambush hunters,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation
Liu et al. 2016,"Pardosa laura, Macrothele yunnanica",Litter spiders,Hunting predators,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation
Liu et al. 2016,Macrothele yunnanica,Hunting spider,Hunting predators,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation
Liu et al. 2018,Pardosa laura,Hunting spider,Hunting predators,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation
Liu et al. 2018,"Pardosa laura, Macrothele yunnanica",Litter spiders,Hunting predators,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation
Liu et al. 2018,Macrothele yunnanica,Ambush spider,Ambush hunters,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation
Ma et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Betula ermanii forest,Litter bag exclusion
Ma et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Betula ermanii forest,Litter bag exclusion
Ma et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Alpine tundra,Litter bag exclusion
Ma et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Coniferous mixed broad-leaf,Litter bag exclusion
Ma et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Alpine tundra,Litter bag exclusion
Ma et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Coniferous mixed broad-leaf,Litter bag exclusion
Ma et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Betula ermanii forest,Litter bag exclusion
Ma et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Coniferous forest,Litter bag exclusion
Ma et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Coniferous forest,Litter bag exclusion
Ma et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Coniferous mixed broad-leaf,Litter bag exclusion
Ma et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Coniferous mixed broad-leaf,Litter bag exclusion
Ma et al. 2019 (a),Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Alpine tundra,Litter bag exclusion
Mayer 2008,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Forest-grassland mix,Litter bag exclusion
McGlynn and Poison 2012,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Costa Rica,Tropical,Woodland,Field study,Litter,Lowland rainforest,Fauna manipulation
Milcu and Manning 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion
Milcu and Manning 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Deciduous forest,Litter bag exclusion
Milcu and Manning 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion
Milcu and Manning 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Early succesional grassland,Litter bag exclusion
Milcu and Manning 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion
Milcu and Manning 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Deciduous forest,Litter bag exclusion
Milcu and Manning 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Early succesional grassland,Litter bag exclusion
Milcu and Manning 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Early succesional grassland,Litter bag exclusion
Milcu and Manning 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Deciduous forest,Litter bag exclusion
Milcu and Manning 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Early succesional grassland,Litter bag exclusion
Milcu and Manning 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion
Milcu and Manning 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Deciduous forest,Litter bag exclusion
Milcu and Manning 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion
Milcu and Manning 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Deciduous forest,Litter bag exclusion
Milcu and Manning 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion
Milcu and Manning 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Early succesional grassland,Litter bag exclusion
Milcu and Manning 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Early succesional grassland,Litter bag exclusion
Milcu and Manning 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion
Milton and Kaspari 2007,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Panama,Tropical,Woodland,Field study,Litter,Old growth rainforest,Litter bag exclusion
Milton and Kaspari 2007,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Panama,Tropical,Woodland,Field study,Litter,Old growth rainforest,Litter bag exclusion
Ossola et al. 2016,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Litter,Eucalyptus remnants forest,Litter bag exclusion
Ossola et al. 2016,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Litter,Eucalyptus remnants forest,Litter bag exclusion
Ouedrago et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Burkina Faso (Africa),Tropical,Grassland,Field study,Litter,Grassland steppe,Insecticide/litter bag exclusion
Ouedrago et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Burkina Faso (Africa),Tropical,Grassland,Field study,Soil,Grassland steppe,Insecticide/litter bag exclusion
Ouedrago et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Burkina Faso (Africa),Tropical,Grassland,Field study,Soil,Grassland steppe,Insecticide/litter bag exclusion
Ouedrago et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Burkina Faso (Africa),Tropical,Grassland,Field study,Litter,Grassland steppe,Insecticide/litter bag exclusion
Pant et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Temperate,Agriculture,Field study,Litter,Rice/wheat cropfield,Insecticide/litter bag exclusion
Pant et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Temperate,Agriculture,Field study,Litter,Rice/wheat cropfield,Insecticide/litter bag exclusion
Panteleit et al. 2018,Pomacea canaliculata,Gastropoda (snail),Detritus shredders,Decomposers,Phillipines,Tropical,Agriculture,Mesocosm,Soil,Laboratory,Fauna manipulation
Panteleit et al. 2018,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Phillipines,Tropical,Agriculture,Mesocosm,Litter,Laboratory,Fauna manipulation
Panteleit et al. 2018,Pomacea canaliculata,Gastropoda (snail),Detritus shredders,Decomposers,Phillipines,Tropical,Agriculture,Mesocosm,Litter,Laboratory,Fauna manipulation
Panteleit et al. 2018,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Phillipines,Tropical,Agriculture,Mesocosm,Soil,Laboratory,Fauna manipulation
Peguero et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Paracou tropical rainforest,Litter bag exclusion
Peguero et al. 2019,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Nouragues tropical rainforest,Litter bag exclusion
Peguero et al. 2019,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Paracou tropical rainforest,Litter bag exclusion
Peguero et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Nouragues tropical rainforest,Litter bag exclusion
Pena-Pena and Irmler 2016,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Grassland,Field study,Litter,Tropical grassland,Litter bag exclusion
Pena-Pena and Irmler 2016,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Agriculture,Field study,Litter,Cropland,Litter bag exclusion
Pena-Pena and Irmler 2016,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Tropical rainforest,Litter bag exclusion
Potter et al. 1990,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Kentucky bluegrass turf,Litter bag exclusion
Potter et al. 1990,Lumbricidae,Earthworm,Bioturbator,Decomposers,USA,Temperate,Grassland,Field study,Litter,Kentucky bluegrass turf,Insecticide
Potter et al. 1990,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Kentucky bluegrass turf,Litter bag exclusion
Qui et al. 2019,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Mixed hardwood forest,Litter bag exclusion
Qui et al. 2019,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Mixed hardwood forest,Litter bag exclusion
Reddy et al. 1994,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Tropical,Agriculture,Field study,Litter,Rice cropfield no till,Litter bag exclusion
Reddy et al. 1994,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Tropical,Agriculture,Field study,Litter,Rice cropfield till,Litter bag exclusion
Ruitta et al. 2012,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Ruitta et al. 2012,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Santos and Whitford 1981,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Soil,Desert shrubland,Insecticide
Santos et al. 1981,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Soil,Desert shrubland,Insecticide
Schadler and Brandl 2005,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Schadler and Brandl 2005,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Schadler and Brandl 2005,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Schadler and Brandl 2005,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
