Publication,StudyID,ES.ID,Taxon,Invertebrate.type,Trait,Function,Country,Climate,Ecosystem,Design,Habitat,Site.history,Fauna.manipulation,Mesh.size,Litter,Litter.identity,Units,Duration,SS.experimental,SS.control,Std.dev.experimental,Std.dev.control,Mean.experimental,Mean.control
Ouedrago et al. 2004,66,261,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Burkina Faso (Africa),Tropical,Grassland,Field study,Litter,Grassland steppe,Insecticide/litter bag exclusion,4 - 1 mm,Straw,Maize straw,prop. decom,90 d,4,4,1.155,5.909,91.327,17.096
Ouedrago et al. 2004,66,262,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Burkina Faso (Africa),Tropical,Grassland,Field study,Soil,Grassland steppe,Insecticide/litter bag exclusion,4 - 1 mm,Straw,Maize straw,prop. decom,90 d,4,4,2.039,4.202,90.791,65.898
Ouedrago et al. 2004,66,263,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Burkina Faso (Africa),Tropical,Grassland,Field study,Soil,Grassland steppe,Insecticide/litter bag exclusion,4 - 1 mm,Straw,Andropogon straw,prop. decom,90 d,4,4,2.368,3.431,75.002,14.758
Ouedrago et al. 2004,66,264,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Burkina Faso (Africa),Tropical,Grassland,Field study,Litter,Grassland steppe,Insecticide/litter bag exclusion,4 - 1 mm,Straw,Andropogon straw,prop. decom,90 d,4,4,9.751,7.636,86.053,2.632
Pant et al. 2017,67,265,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Temperate,Agriculture,Field study,Litter,Rice/wheat cropfield,Insecticide/litter bag exclusion,NA,Litter,Pinus roxburghii,prop. decom,540 d,3,3,4.934612751,7.97955807,44.524,29.701
Pant et al. 2017,67,266,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Temperate,Agriculture,Field study,Litter,Rice/wheat cropfield,Insecticide/litter bag exclusion,NA,Litter,Quercus leucotrichophora,prop. decom,540 d,3,3,6.813887877,4.543169268,60.003,43.939
Panteleit et al. 2018,68,267,Pomacea canaliculata,Gastropoda (snail),Detritus shredders,Decomposers,Phillipines,Tropical,Agriculture,Mesocosm,Soil,Laboratory,Fauna manipulation,2 mm,Straw,Oryza sativa,prop. decom,21 d,20,20,4.444444444,8.891111111,41.143,38.572
Panteleit et al. 2018,68,268,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Phillipines,Tropical,Agriculture,Mesocosm,Litter,Laboratory,Fauna manipulation,2 mm,Straw,Oryza sativa,prop. decom,21 d,20,20,7.805185185,7.757777778,54.691,34.619
Panteleit et al. 2018,68,269,Pomacea canaliculata,Gastropoda (snail),Detritus shredders,Decomposers,Phillipines,Tropical,Agriculture,Mesocosm,Litter,Laboratory,Fauna manipulation,2 mm,Straw,Oryza sativa,prop. decom,21 d,20,20,12.7,8.891111111,49.715,38.572
Panteleit et al. 2018,68,270,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Phillipines,Tropical,Agriculture,Mesocosm,Soil,Laboratory,Fauna manipulation,2 mm,Straw,Oryza sativa,prop. decom,21 d,20,20,13.36222222,7.757777778,56.727,34.619
Peguero et al. 2019,69,271,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Paracou tropical rainforest,Litter bag exclusion,7 - 2 mm,Litter,Mixed litter,prop. decom,210 d,4,4,21.03407407,24.84444444,76.132,70.782
Peguero et al. 2019,69,272,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Nouragues tropical rainforest,Litter bag exclusion,2 - 0.07 mm,Litter,Mixed litter,prop. decom,210 d,4,4,22.25703704,11.5837037,35.391,45.268
Peguero et al. 2019,69,273,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Paracou tropical rainforest,Litter bag exclusion,2 - 0.07 mm,Litter,Mixed litter,prop. decom,210 d,4,4,24.84444444,9.755555556,70.782,38.274
Peguero et al. 2019,69,274,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Nouragues tropical rainforest,Litter bag exclusion,7 - 2 mm,Litter,Mixed litter,prop. decom,210 d,4,4,26.21555556,22.25703704,69.352,35.391
Pena-Pena and Irmler 2016,70,275,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Grassland,Field study,Litter,Tropical grassland,Litter bag exclusion,5 - 0.20 mm,Litter,Maize,prop. decom,140 d,4,4,9.07,5.501,78.026,48.627
Pena-Pena and Irmler 2016,70,276,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Agriculture,Field study,Litter,Cropland,Litter bag exclusion,5 - 0.20 mm,Litter,Maize,prop. decom,140 d,4,4,10.87,5.156,75.902,50.702
Pena-Pena and Irmler 2016,70,277,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Tropical rainforest,Litter bag exclusion,5 - 0.20 mm,Litter,Maize,prop. decom,140 d,4,4,16.765,7.568,78.386,50.814
Potter et al. 1990,71,278,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Kentucky bluegrass turf,Litter bag exclusion,1.2 - 0.053 mm,Litter,Mixed litter,prop. decom,690 d,5,5,4.700214889,3.423420074,32.455,30.036
Potter et al. 1990,71,279,Lumbricidae,Earthworm,Bioturbator,Decomposers,USA,Temperate,Grassland,Field study,Litter,Kentucky bluegrass turf,Insecticide,5 mm,Litter,Mixed litter,prop. decom,690 d,5,5,9.603911963,20.45331379,78.278,46.864
Potter et al. 1990,71,280,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Kentucky bluegrass turf,Litter bag exclusion,5 - 1.2 mm,Litter,Mixed litter,prop. decom,690 d,5,5,21.52886249,4.700214889,76.877,32.455
Qui et al. 2019,72,281,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Mixed hardwood forest,Litter bag exclusion,2 - 0.01 mm,Litter,Tilia amurensis,prop. decom,730 d,4,4,4.5,4.5,86.38,84.594
Qui et al. 2019,72,282,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Mixed hardwood forest,Litter bag exclusion,2 - 0.01 mm,Litter,Acer mono,prop. decom,730 d,4,4,5.552,5.552,81.503,77.079
Reddy et al. 1994,73,283,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Tropical,Agriculture,Field study,Litter,Rice cropfield no till,Litter bag exclusion,7 - 1 mm,Straw,Oryza sativa,prop. decom,330 d,3,3,20.23035343,16.43889421,98.538,93.249
Reddy et al. 1994,73,284,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Tropical,Agriculture,Field study,Litter,Rice cropfield till,Litter bag exclusion,7 - 1 mm,Straw,Oryza sativa,prop. decom,330 d,3,3,20.54818476,15.99289113,98.175,86.7695
Ruitta et al. 2012,74,285,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 1 mm,Litter,Fraxinus excelsior,prop. decom,90 d,5,5,4.248529157,6.708203932,87,71
Ruitta et al. 2012,74,286,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 1 mm,Litter,Quercus robur,prop. decom,90 d,5,5,9.615092303,5.142956348,57,25
Santos and Whitford 1981,75,287,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Soil,Desert shrubland,Insecticide,1.5 mm,Litter,Mixed litter,prop. decom,180 d,10,10,4.909,2.452,30.17,7.462
Santos et al. 1981,76,288,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Soil,Desert shrubland,Insecticide,1.5 mm,Litter,Mixed litter,prop. decom,30 d,10,10,5.632,3.599,53.741,36.523
Schadler and Brandl 2005,77,289,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 0.20 mm,Litter,Cerasus avium,prop. decom,240 d,20,20,0.894427191,5.366563146,96,49.4
Schadler and Brandl 2005,77,290,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 0.20 mm,Litter,Tilia tomentosa,prop. decom,240 d,20,20,0.894427191,0.894427191,97.3,56.3
Schadler and Brandl 2005,77,291,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 0.20 mm,Litter,Fraxinus excelsior,prop. decom,240 d,20,20,3.577708764,2.236067977,92.5,62.7
Schadler and Brandl 2005,77,292,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 0.20 mm,Litter,Fagus sylvatica,prop. decom,240 d,20,20,7.602631123,4.91934955,31.8,17.2
Schadler and Brandl 2005,77,293,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 0.20 mm,Litter,Corylus avellana,prop. decom,240 d,20,20,8.497058314,11.18033989,84.4,31.6
Schadler and Brandl 2005,77,294,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 0.20 mm,Litter,Acer platanoides,prop. decom,240 d,20,20,10.2859127,4.472135955,77.8,45.9
Schadler and Brandl 2005,77,295,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 0.20 mm,Litter,Platanus hispanica,prop. decom,240 d,20,20,10.73312629,5.366563146,41.4,31.1
Schadler and Brandl 2005,77,296,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 0.20 mm,Litter,Mixed litter,prop. decom,240 d,20,20,11.21611698,4.382693236,70.1,40.1
Schadler and Brandl 2005,77,297,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 0.20 mm,Litter,Quercus robur,prop. decom,240 d,20,20,13.41640786,5.366563146,62,33.3
Schadler and Brandl 2005,77,298,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 0.20 mm,Litter,Quercus rubra,prop. decom,240 d,20,20,13.86362146,10.2859127,62.2,37.7
Schadler et al. 2004,78,299,Macro-invertebrate,Arthropod,Macro-invertebrate,Herbivores,Germany,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Insecticide,1.5 mm,Litter,Cirsium arvense,prop. decom,56 d,8,8,0.282842712,0.282842712,56.7,60.5
Schadler et al. 2004,78,300,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Grassland,Field study,Litter,Oldfield grassland,Insecticide,1.5 mm,Litter,Cirsium arvense,prop. decom,56 d,8,8,0.282842712,0.282842712,58,59.1
Shires 1985,79,301,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Agriculture,Field study,Litter,Wheat cropfield,Litter bag exclusion,3.36 - 0.20 mm,Litter,Castanea sativa,prop. decom,147 d,4,4,24.08163265,3.469387755,37,18.7
Silva and Vasconcelos 2011,80,302,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Savanna woodland,Insecticide/litter bag exclusion,10 - 1 mm,Litter,Mixed litter,prop. decom,360 d,15,15,4.868340066,3.443082195,51.454,36.851
Silveira et al. 2009,81,303,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Tropical forest,Litter bag exclusion,10 - 2 mm,Litter,Mixed litter,prop. decom,181 d,3,3,5.01948324,2.244737847,31.965,34.424
Slade et al. 2012,82,304,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 1 mm,Litter,Corylus avellana,prop. decom,365 d,5,5,2.582658514,8.277923653,99.359,85.068
Slade et al. 2012,82,305,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 1 mm,Litter,Acer pseudoplatanus,prop. decom,365 d,5,5,3.083537741,3.083537741,94.545,90.119
Slade et al. 2012,82,306,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 1 mm,Litter,Quercus robur,prop. decom,365 d,5,5,3.591125172,10.27026022,94.972,76.614
Slade et al. 2012,82,307,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 1 mm,Litter,Fagus sylvatica,prop. decom,365 d,5,5,4.668909937,2.645268417,41.542,27.378
Slade et al. 2012,82,308,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 1 mm,Litter,Fraxinus excelsior,prop. decom,365 d,5,5,5.16308096,3.141675508,94.974,79.924
Slade et al. 2012,82,309,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 1 mm,Litter,Mixed litter,prop. decom,365 d,5,5,7.824001853,4.812763644,81.10633333,65.0865
Slade et al. 2012,82,310,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,5 - 1 mm,Litter,Acer campestre,prop. decom,365 d,5,5,9.266265699,5.241343339,60.314,41.608
Smith and Bradford 2003,83,311,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Grassland,Field study,Litter,Semi-natural grassland,Litter bag exclusion,4.7 - 2 mm,Litter,Holcus lanatus,prop. decom,60 d,5,5,3.370313459,5.01438244,72.4545,56.33875
Smith and Bradford 2003,83,312,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Grassland,Field study,Litter,Semi-natural grassland,Litter bag exclusion,2 - 0.1 mm,Litter,Agrostis capillaris,prop. decom,60 d,5,5,3.393233156,5.064693969,70.2185,61.42775
Smith and Bradford 2003,83,313,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Grassland,Field study,Litter,Semi-natural grassland,Litter bag exclusion,4.7 - 2 mm,Litter,Agrostis capillaris,prop. decom,60 d,5,5,4.778477268,3.393233156,80.974,70.2185
Smith and Bradford 2003,83,314,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Grassland,Field study,Litter,Semi-natural grassland,Litter bag exclusion,4.7 - 2 mm,Litter,Arrhenatherum elatius,prop. decom,60 d,5,5,4.858416698,4.92493972,71.298,59.0345
Smith and Bradford 2003,83,315,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Grassland,Field study,Litter,Semi-natural grassland,Litter bag exclusion,2 - 0.1 mm,Litter,Arrhenatherum elatius,prop. decom,60 d,5,5,4.92493972,2.887322776,59.0345,56.20725
Smith and Bradford 2003,83,316,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Grassland,Field study,Litter,Semi-natural grassland,Litter bag exclusion,2 - 0.1 mm,Litter,Holcus lanatus,prop. decom,60 d,5,5,5.01438244,4.123309351,56.33875,54.77425
Smith et al. 2009,84,317,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Agriculture,Field study,Litter,Wheat cropfield margin,Litter bag exclusion,5 - 1.8 mm,Litter,Dactylis glomerata,prop. decom,250 d,24,24,5.388877434,6.368673331,78.6,71.5
Smith et al. 2009,84,318,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Agriculture,Field study,Soil,Wheat cropfield margin,Litter bag exclusion,5 - 1.8 mm,Litter,Dactylis glomerata,prop. decom,250 d,24,24,6.368673331,7.838367177,72.9,68.5
Standen 1978,85,319,Molophilus ater,Tipulidae,Detritus grazers,Decomposers,England,Temperate,Wetland,Field study,Soil,Peat bog,Fauna manipulation,0.045 mm,Litter,Calluna vulgaris,prop. decom,90 d,6,6,1.469693846,2.033076487,14,12
Standen 1978,85,320,"Cognettia sphagnetorum, Molophilus ater",Micro-invertebrate,Detritus grazers,Decomposers,England,Temperate,Wetland,Field study,Soil,Peat bog,Fauna manipulation,0.045 mm,Litter,Calluna vulgaris,prop. decom,90 d,6,6,1.81262241,2.033076487,13.8,12
Standen 1978,85,321,Cognettia sphagnetorum,Enchytraeid,Bioturbator,Decomposers,England,Temperate,Wetland,Field study,Soil,Peat bog,Fauna manipulation,0.045 mm,Litter,Sphagnum sp.,prop. decom,90 d,6,6,1.959591794,0.832826513,3.7,1.1
Standen 1978,85,322,Molophilus ater,Tipulidae,Detritus grazers,Decomposers,England,Temperate,Wetland,Field study,Soil,Peat bog,Fauna manipulation,0.045 mm,Litter,Sphagnum sp.,prop. decom,90 d,6,6,2.082066281,0.832826513,3.6,1.1
Standen 1978,85,323,Molophilus ater,Tipulidae,Detritus grazers,Decomposers,England,Temperate,Wetland,Field study,Soil,Peat bog,Fauna manipulation,0.045 mm,Litter,Eriophorum vaginatum,prop. decom,90 d,6,6,2.106561179,2.47398464,17.8,14.6
Standen 1978,85,324,Cognettia sphagnetorum,Enchytraeid,Bioturbator,Decomposers,England,Temperate,Wetland,Field study,Soil,Peat bog,Fauna manipulation,0.045 mm,Litter,Eriophorum vaginatum,prop. decom,90 d,6,6,2.302520358,2.47398464,17.7,14.6
Standen 1978,85,325,"Cognettia sphagnetorum, Molophilus ater",Micro-invertebrate,Detritus grazers,Decomposers,England,Temperate,Wetland,Field study,Soil,Peat bog,Fauna manipulation,0.045 mm,Litter,Sphagnum sp.,prop. decom,90 d,6,6,2.816913204,0.832826513,5,1.1
Standen 1978,85,326,"Cognettia sphagnetorum, Molophilus ater",Micro-invertebrate,Detritus grazers,Decomposers,England,Temperate,Wetland,Field study,Soil,Peat bog,Fauna manipulation,0.045 mm,Litter,Eriophorum vaginatum,prop. decom,90 d,6,6,2.865902999,2.47398464,21.3,14.6
Standen 1978,85,327,Cognettia sphagnetorum,Enchytraeid,Bioturbator,Decomposers,England,Temperate,Wetland,Field study,Soil,Peat bog,Fauna manipulation,0.045 mm,Litter,Calluna vulgaris,prop. decom,90 d,6,6,3.502770332,2.033076487,16.1,12
Suzuki and Ito 2014,86,328,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Japan,Temperate,Woodland,Field study,Litter,Temperate hardwood forest,Litter bag exclusion,4 - 2 mm,Litter,Mixed deciduous,prop. decom,374 d,8,8,0.056568542,0.056568542,54.2,51.3
Suzuki and Ito 2014,86,329,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Japan,Temperate,Woodland,Field study,Litter,Temperate hardwood forest,Litter bag exclusion,4 - 2 mm,Litter,Mixed evergreen,prop. decom,578 d,8,8,0.084852814,0.084852814,56.9,52.6
Takeda 1995,87,330,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Japan,Temperate,Woodland,Field study,Litter,Temperate hardwood forest,Insecticide,1 mm,Litter,Chamaecyparis obtusa,prop. decom,730 d,10,10,5.270462767,5.059644256,41.56666667,30.83333333
Tresch et al. 2019,88,331,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Switzerland,Temperate,Agriculture,Field study,Litter,Urban gardens,Litter bag exclusion,4 - 1 mm,Litter,Zea mays,prop. decom,180 d,85,85,10.05703704,8.742222222,39.725,42.043
Tresch et al. 2019,88,332,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Switzerland,Temperate,Agriculture,Field study,Litter,Urban gardens,Litter bag exclusion,4 - 1 mm,Stem,Zea mays,prop. decom,180 d,85,85,19.64592593,19.93777778,93.519,65.422
Vasconcelos and Laurance 2005,89,333,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Primary rainforest,Insecticide/litter bag exclusion,10 - 1 mm,Litter,Mixed litter,prop. decom,120 d,45,45,24.0556193,17.5620779,60.065,52.923
Vreeken-Buijs and Brussard 1996,90,334,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Netherlands,Temperate,Agriculture,Field study,Soil,Wheat cropfield,Litter bag exclusion,1.5 - 0.02 mm,Litter,Triticum,prop. decom,350 d,20,20,17.53077294,11.26978261,63.5,53.7
Wang et al. 2009,91,335,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Dwarf forest,Insecticide,1 mm,Litter,Castanopsis carlesii,prop. decom,330 d,3,3,6.493458478,5.251578049,35.293,30.182
Wang et al. 2009,91,336,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Insecticide,1 mm,Litter,Castanopsis carlesii,prop. decom,330 d,3,3,10.74217911,26.56915406,63.712,39.046
Wang et al. 2009,91,337,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Grassland,Field study,Litter,Alpine meadow,Insecticide,1 mm,Litter,Castanopsis carlesii,prop. decom,330 d,3,3,15.33557785,8.914865507,31.651,19.852
Wang et al. 2009,91,338,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Coniferous forest,Insecticide,1 mm,Litter,Castanopsis carlesii,prop. decom,330 d,3,3,18.9815448,8.388322061,45.204,27.405
Wang et al. 2010,92,339,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Grassland,Field study,Litter,Alpine meadow,Litter bag exclusion,5 - 1 mm,Litter,Castanopsis carlesii,prop. decom,360 d,3,3,8.838655271,9.8657614,31.038,31.018
Wang et al. 2010,92,340,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Grassland,Field study,Litter,Alpine meadow,Litter bag exclusion,1 - 0.1 mm,Litter,Castanopsis carlesii,prop. decom,360 d,3,3,9.8657614,21.95201194,31.018,19.63
Wang et al. 2010,92,341,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,5 - 1 mm,Litter,Pinus taiwanensis,prop. decom,360 d,3,3,10.23988437,20.40182646,49.414,39.415
Wang et al. 2010,92,342,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Coniferous forest,Litter bag exclusion,5 - 1 mm,Litter,Castanopsis carlesii,prop. decom,360 d,3,3,10.32995102,17.21831708,49.136,45.617
Wang et al. 2010,92,343,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Coniferous forest,Litter bag exclusion,5 - 1 mm,Litter,Pinus taiwanensis,prop. decom,360 d,3,3,12.15380052,17.24949399,36.841,26.322
Wang et al. 2010,92,344,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,5 - 1 mm,Litter,Castanopsis carlesii,prop. decom,360 d,3,3,12.26811587,12.39455558,65.296,58.237
Wang et al. 2010,92,345,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,1 - 0.1 mm,Litter,Castanopsis carlesii,prop. decom,360 d,3,3,12.39455558,16.3020622,58.237,50.003
Wang et al. 2010,92,346,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Dwarf forest,Litter bag exclusion,1 - 0.1 mm,Litter,Pinus taiwanensis,prop. decom,360 d,3,3,12.47596197,15.42910859,24.868,24.315
Wang et al. 2010,92,347,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Dwarf forest,Litter bag exclusion,5 - 1 mm,Litter,Castanopsis carlesii,prop. decom,360 d,3,3,13.43032196,16.26742118,38.137,36.468
Wang et al. 2010,92,348,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Grassland,Field study,Litter,Alpine meadow,Litter bag exclusion,5 - 1 mm,Litter,Pinus taiwanensis,prop. decom,360 d,3,3,14.29288326,15.38580732,17.732,16.455
Wang et al. 2010,92,349,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Dwarf forest,Litter bag exclusion,5 - 1 mm,Litter,Pinus taiwanensis,prop. decom,360 d,3,3,14.35350504,12.47596197,28.729,24.868
Wang et al. 2010,92,350,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Grassland,Field study,Litter,Alpine meadow,Litter bag exclusion,1 - 0.1 mm,Litter,Pinus taiwanensis,prop. decom,360 d,3,3,15.38580732,12.1087672,16.455,12.751
Wang et al. 2010,92,351,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Dwarf forest,Litter bag exclusion,1 - 0.1 mm,Litter,Castanopsis carlesii,prop. decom,360 d,3,3,16.26742118,18.28179627,36.468,30.391
Wang et al. 2010,92,352,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Coniferous forest,Litter bag exclusion,1 - 0.1 mm,Litter,Castanopsis carlesii,prop. decom,360 d,3,3,17.21831708,12.15380052,45.617,35.749
Wang et al. 2010,92,353,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Coniferous forest,Litter bag exclusion,1 - 0.1 mm,Litter,Pinus taiwanensis,prop. decom,360 d,3,3,17.24949399,18.25927961,26.322,23.983
Wang et al. 2010,92,354,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,1 - 0.1 mm,Litter,Pinus taiwanensis,prop. decom,360 d,3,3,20.40182646,13.24499253,39.415,32.988
Xin et al. 2009,93,355,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion,2 - 1 mm,Litter,Stipa baicalensis,prop. decom,365 d,4,4,2.88,2.48,25.12,21.41
Xin et al. 2009,93,356,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion,4.7 - 2 mm,Litter,Agropyron cristatum,prop. decom,365 d,4,4,4.1,7.48,31.68,34.01
